            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463017.500000000, A.D. 2031-May-31 00:00:00.0000, -3.640969124004337E-01, -9.460926562852794E-01,  7.094845575377924E-05,  1.577645975929590E-02, -6.237701562312903E-03, -6.757080129308164E-09,  5.854842884280025E-03,  1.013734620564055E+00,  1.551523935003873E-04,
2463018.500000000, A.D. 2031-Jun-01 00:00:00.0000, -3.482703185594636E-01, -9.521957375758348E-01,  7.086842706233641E-05,  1.587596596408062E-02, -5.968256081630498E-03, -1.505522835798501E-07,  5.855728917793022E-03,  1.013888032511200E+00,  1.517132684658190E-04,
2463019.500000000, A.D. 2031-Jun-02 00:00:00.0000, -3.323464933443714E-01, -9.580287755330897E-01,  7.065422833704769E-05,  1.597093420904291E-02, -5.697631194380078E-03, -2.737014948332109E-07,  5.856595815100707E-03,  1.014038131127105E+00,  1.485256153794099E-04,
2463020.500000000, A.D. 2031-Jun-03 00:00:00.0000, -3.163299365192003E-01, -9.635906357694445E-01,  7.033072172163451E-05,  1.606144379919229E-02, -5.425912673136933E-03, -3.677763620509891E-07,  5.857445006579136E-03,  1.014185164073708E+00,  1.455780702542363E-04,
2463021.500000000, A.D. 2031-Jun-04 00:00:00.0000, -3.002250610694801E-01, -9.688802549681648E-01,  6.993099256059829E-05,  1.614758746053482E-02, -5.153155042294162E-03, -4.249692550216606E-07,  5.858277784591828E-03,  1.014329355116814E+00,  1.428330052317249E-04,
2463022.500000000, A.D. 2031-Jun-05 00:00:00.0000, -2.840361856504747E-01, -9.738966046855977E-01,  6.949502611847503E-05,  1.622945834467779E-02, -4.879372456442621E-03, -4.395574165749954E-07,  5.859095135223888E-03,  1.014470874991769E+00,  1.402216642093821E-04,
2463023.500000000, A.D. 2031-Jun-06 00:00:00.0000, -2.677675433943673E-01, -9.786386493148165E-01,  6.906682201396309E-05,  1.630713087300272E-02, -4.604537055053421E-03, -4.094740002799921E-07,  5.859897561038253E-03,  1.014609810714646E+00,  1.376465325361731E-04,
2463024.500000000, A.D. 2031-Jun-07 00:00:00.0000, -2.514233107854703E-01, -9.831053079970913E-01,  6.869014518108452E-05,  1.638064101163788E-02, -4.328588851484063E-03, -3.373489802534052E-07,  5.860684944400249E-03,  1.014746141917632E+00,  1.349930305380113E-04,
2463025.500000000, A.D. 2031-Jun-08 00:00:00.0000, -2.350076531792238E-01, -9.872954320374765E-01,  6.840375536311317E-05,  1.644997400711744E-02, -4.051456140443480E-03, -2.304455523203331E-07,  5.861456500437550E-03,  1.014879732704298E+00,  1.321480114371987E-04,
2463026.500000000, A.D. 2031-Jun-09 00:00:00.0000, -2.185247763207137E-01, -9.912078052804180E-01,  6.823731504192347E-05,  1.651506508856112E-02, -3.773079519131672E-03, -9.940706762275246E-08,  5.862210840814202E-03,  1.015010342691725E+00,  1.290183484993857E-04,
2463027.500000000, A.D. 2031-Jun-10 00:00:00.0000, -2.019789707851578E-01, -9.948411665546304E-01,  6.820894977270458E-05,  1.657581219894578E-02, -3.493430691643087E-03,  4.367311215274418E-08,  5.862946127888037E-03,  1.015137653702034E+00,  1.255427568812559E-04,
2463028.500000000, A.D. 2031-Jun-11 00:00:00.0000, -1.853746402183446E-01, -9.981942458888913E-01,  6.832475830997928E-05,  1.663209438114083E-02, -3.212520825798026E-03,  1.871022336112694E-07,  5.863660269692362E-03,  1.015261303522421E+00,  1.216940934155023E-04,
2463029.500000000, A.D. 2031-Jun-12 00:00:00.0000, -1.687163114232283E-01, -1.001265803874044E+00,  6.857989597763408E-05,  1.668378870209497E-02, -2.930398986065457E-03,  3.208310649625294E-07,  5.864351104767000E-03,  1.015380917907658E+00,  1.174741675477588E-04,
2463030.500000000, A.D. 2031-Jun-13 00:00:00.0000, -1.520086300983570E-01, -1.004054666167946E+00,  6.896053652784632E-05,  1.673078168818912E-02, -2.647144787732618E-03,  4.369815569218869E-07,  5.865016545566483E-03,  1.015496135410451E+00,  1.129053054809778E-04,
2463031.500000000, A.D. 2031-Jun-14 00:00:00.0000, -1.352563481572008E-01, -1.006559749648298E+00,  6.944607645974808E-05,  1.677297489934329E-02, -2.362859655406661E-03,  5.298480960967758E-07,  5.865654672845547E-03,  1.015606623723784E+00,  1.080222645419994E-04,
2463032.500000000, A.D. 2031-Jun-15 00:00:00.0000, -1.184643077319959E-01, -1.008780080333077E+00,  7.001118968332923E-05,  1.681028634039206E-02, -2.077659381389775E-03,  5.956385369817408E-07,  5.866263789038293E-03,  1.015712088923233E+00,  1.028662614266032E-04,
2463033.500000000, A.D. 2031-Jun-16 00:00:00.0000, -1.016374249755029E-01, -1.010714804930540E+00,  7.062758192475259E-05,  1.684264976477642E-02, -1.791668851693142E-03,  6.321581034004089E-07,  5.866842444014910E-03,  1.015812279926604E+00,  9.748132473647229E-05,
2463034.500000000, A.D. 2031-Jun-17 00:00:00.0000, -8.478067495499782E-02, -1.012363198114918E+00,  7.126544749770522E-05,  1.687001337345923E-02, -1.505018674310548E-03,  6.385399646861774E-07,  5.867389445176220E-03,  1.015906990241751E+00,  9.191239399741181E-05,
2463035.500000000, A.D. 2031-Jun-18 00:00:00.0000, -6.789907780344549E-02, -1.013724667101442E+00,  7.189469304491264E-05,  1.689233867385519E-02, -1.217843030070510E-03,  6.150482907297980E-07,  5.867903859789234E-03,  1.015996058370964E+00,  8.620441569520753E-05,
2463036.500000000, A.D. 2031-Jun-19 00:00:00.0000, -5.099768583474149E-02, -1.014798754407881E+00,  7.248599447431791E-05,  1.690959969027205E-02, -9.302781047596106E-04,  5.629369430482526E-07,  5.868385013484757E-03,  1.016079367550835E+00,  8.040183944410044E-05,
2463037.500000000, A.D. 2031-Jun-20 00:00:00.0000, -3.408157131948702E-02, -1.015585139159296E+00,  7.301172791963876E-05,  1.692178239711413E-02, -6.424606998209750E-04,  4.843339580271060E-07,  5.868832486126304E-03,  1.016156845036988E+00,  7.454817762043460E-05,
2463038.500000000, A.D. 2031-Jun-21 00:00:00.0000, -1.715581480949024E-02, -1.016083637028124E+00,  7.344678769637014E-05,  1.692888415336000E-02, -3.545268906842977E-04,  3.821282888017891E-07,  5.869246105052953E-03,  1.016228460934109E+00,  6.868553853171037E-05,
2463039.500000000, A.D. 2031-Jun-22 00:00:00.0000, -2.254940956928888E-04, -1.016294198881886E+00,  7.376928812972146E-05,  1.693091298788120E-02, -6.661080754239315E-05,  2.598509743104450E-07,  5.869625935719747E-03,  1.016294226575390E+00,  6.285421472774401E-05,
2463040.500000000, A.D. 2031-Jun-23 00:00:00.0000,  1.670432604025123E-02, -1.016216908340848E+00,  7.396114681742636E-05,  1.692788674268119E-02,  2.211562976823449E-04,  1.215594449782919E-07,  5.869972270483178E-03,  1.016354192580786E+00,  5.709247784442608E-05,
2463041.500000000, A.D. 2031-Jun-24 00:00:00.0000,  3.362860321289264E-02, -1.015851978602992E+00,  7.400856171239882E-05,  1.691983224724195E-02,  5.086465716559835E-04, -2.825542779320629E-08,  5.870285617108737E-03,  1.016408446867169E+00,  5.143670038835765E-05,
2463042.500000000, A.D. 2031-Jun-25 00:00:00.0000,  5.054232612635409E-02, -1.015199748957629E+00,  7.390241568445952E-05,  1.690678480963510E-02,  7.957356794847851E-04, -1.847182741263173E-07,  5.870566688987285E-03,  1.016457112954335E+00,  4.592181539296761E-05,
2463043.500000000, A.D. 2031-Jun-26 00:00:00.0000,  6.744052304709064E-02, -1.014260681300378E+00,  7.363866012939660E-05,  1.688878833166360E-02,  1.082302735656004E-03, -3.425612419141206E-07,  5.870816398670427E-03,  1.016500348845698E+00,  4.058196684375538E-05,
2463044.500000000, A.D. 2031-Jun-27 00:00:00.0000,  8.431827080247875E-02, -1.013035356640178E+00,  7.321873399045270E-05,  1.686589626860236E-02,  1.368230479972796E-03, -4.960639156888533E-07,  5.871035854962127E-03,  1.016538346524712E+00,  3.545101909766268E-05,
2463045.500000000, A.D. 2031-Jun-28 00:00:00.0000,  1.011707051762948E-01, -1.011524471046256E+00,  7.265005698372045E-05,  1.683817343760267E-02,  1.653406345181645E-03, -6.389731121967767E-07,  5.871226361318828E-03,  1.016571331677865E+00,  3.056239580936993E-05,
2463046.500000000, A.D. 2031-Jun-29 00:00:00.0000,  1.179930333983464E-01, -1.009728829752114E+00,  7.194658612683277E-05,  1.680569828981781E-02,  1.937725213679369E-03, -7.644715396808724E-07,  5.871389409700170E-03,  1.016599562629960E+00,  2.594753447858398E-05,
2463047.500000000, A.D. 2031-Jun-30 00:00:00.0000,  1.347805487553589E-01, -1.007649337332724E+00,  7.112933396843440E-05,  1.676856465289258E-02,  2.221094617696033E-03, -8.653081312676206E-07,  5.871526659575378E-03,  1.016623326709188E+00,  2.163216597073721E-05,
2463048.500000000, A.D. 2031-Jul-01 00:00:00.0000,  1.515286459737109E-01, -1.005286981313325E+00,  7.022661499912335E-05,  1.672688117201616E-02,  2.503442640672779E-03, -9.342367736073332E-07,  5.871639887720943E-03,  1.016642931554860E+00,  1.762988170298184E-05,
2463049.500000000, A.D. 2031-Jul-02 00:00:00.0000,  1.682328339111820E-01, -1.002642806871719E+00,  6.927364235091272E-05,  1.668076607762602E-02,  2.784727505736602E-03, -9.648917175388106E-07,  5.871730893591915E-03,  1.016658688732961E+00,  1.393336784442431E-05,
2463050.500000000, A.D. 2031-Jul-03 00:00:00.0000,  1.848887397927166E-01, -9.997178822974975E-01,  6.831102335209316E-05,  1.663033530221144E-02,  3.064945767716161E-03, -9.530944479167770E-07,  5.871801351952613E-03,  1.016670888219943E+00,  1.050544391033515E-05,
2463051.500000000, A.D. 2031-Jul-04 00:00:00.0000,  2.014920982404368E-01, -9.965132590081413E-01,  6.738183549873478E-05,  1.657568433385773E-02,  3.344134090021037E-03, -8.983111613474829E-07,  5.871852622833638E-03,  1.016679765497805E+00,  7.274065358788017E-06,
