            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2463019.500000000, A.D. 2031-Jun-02 00:00:00.0000, -8.163461030754711E-01, -1.295512715897521E+00, -7.139144249359035E-03,  1.236566971108697E-02, -6.260324772019226E-03, -4.343191363405424E-04,  8.843948319398252E-03,  1.531282183152175E+00, -1.293840735299400E-03,
2463020.500000000, A.D. 2031-Jun-03 00:00:00.0000, -8.039469337006128E-01, -1.301719528516460E+00, -7.573162903670956E-03,  1.243252679840529E-02, -6.153169817166858E-03, -4.337119587490808E-04,  8.836470864005925E-03,  1.529987501884933E+00, -1.295504643459936E-03,
2463021.500000000, A.D. 2031-Jun-04 00:00:00.0000, -7.914813356889503E-01, -1.307818795012653E+00, -8.006555676770914E-03,  1.249852533699004E-02, -6.045233332334381E-03, -4.330673520052251E-04,  8.828984096515530E-03,  1.528691208277891E+00, -1.297065337326859E-03,
2463022.500000000, A.D. 2031-Jun-05 00:00:00.0000, -7.789501725428897E-01, -1.313809736397775E+00, -8.439285075980348E-03,  1.256365539954238E-02, -5.936520430688460E-03, -4.323851814390899E-04,  8.821488614909894E-03,  1.527393405868567E+00, -1.298522155229215E-03,
2463023.500000000, A.D. 2031-Jun-06 00:00:00.0000, -7.663543176999176E-01, -1.319691578847085E+00, -8.871313474090687E-03,  1.262790704889329E-02, -5.827036344121678E-03, -4.316653164191495E-04,  8.813985020913080E-03,  1.526094198842252E+00, -1.299874451148815E-03,
2463024.500000000, A.D. 2031-Jun-07 00:00:00.0000, -7.536946545468074E-01, -1.325463553829616E+00, -9.302603111601537E-03,  1.269127033741861E-02, -5.716786424391791E-03, -4.309076293955557E-04,  8.806473919965960E-03,  1.524793692027783E+00, -1.301121594272335E-03,
2463025.500000000, A.D. 2031-Jun-08 00:00:00.0000, -7.409720764334681E-01, -1.331124898239054E+00, -9.733116098579265E-03,  1.275373530328963E-02, -5.605776151478279E-03, -4.301119939197063E-04,  8.798955921199829E-03,  1.523491990892976E+00, -1.302262960791024E-03,
2463026.500000000, A.D. 2031-Jun-09 00:00:00.0000, -7.281874866850427E-01, -1.336674854525580E+00, -1.016281441674440E-02,  1.281529196422393E-02, -5.494011141661349E-03, -4.292782815674752E-04,  8.791431637405058E-03,  1.522189201539194E+00, -1.303297924795685E-03,
2463027.500000000, A.D. 2031-Jun-10 00:00:00.0000, -7.153417986117856E-01, -1.342112670830237E+00, -1.059165992205126E-02,  1.287593031802765E-02, -5.381497153386490E-03, -4.284063619098308E-04,  8.783901685001648E-03,  1.520885430696251E+00, -1.304225854474258E-03,
2463028.500000000, A.D. 2031-Jun-11 00:00:00.0000, -7.024359355173613E-01, -1.347437601122560E+00, -1.101961434745450E-02,  1.293564035533470E-02, -5.268240089798874E-03, -4.274961078789988E-04,  8.776366684017736E-03,  1.519580785718691E+00, -1.305046116779883E-03,
2463029.500000000, A.D. 2031-Jun-12 00:00:00.0000, -6.894708307061422E-01, -1.352648905340186E+00, -1.144663930550158E-02,  1.299441207258263E-02, -5.154245996752111E-03, -4.265474008911434E-04,  8.768827258071325E-03,  1.518275374582626E+00, -1.305758085657538E-03,
2463030.500000000, A.D. 2031-Jun-13 00:00:00.0000, -6.764474274888961E-01, -1.357745849528902E+00, -1.187269629087350E-02,  1.305223547201016E-02, -5.039521059835864E-03, -4.255601298012065E-04,  8.761284034345706E-03,  1.516969305881474E+00, -1.306361144920326E-03,
2463031.500000000, A.D. 2031-Jun-14 00:00:00.0000, -6.633666791858172E-01, -1.362727705983492E+00, -1.229774668328705E-02,  1.310910055372985E-02, -4.924071602348980E-03, -4.245341861931382E-04,  8.753737643557783E-03,  1.515662688820483E+00, -1.306854686998005E-03,
2463032.500000000, A.D. 2031-Jun-15 00:00:00.0000, -6.502295491268739E-01, -1.367593753390936E+00, -1.272175175079146E-02,  1.316499731155424E-02, -4.807904083542093E-03, -4.234694613517549E-04,  8.746188719927611E-03,  1.514355633211451E+00, -1.307238113569134E-03,
2463033.500000000, A.D. 2031-Jun-16 00:00:00.0000, -6.370370106505534E-01, -1.372343276976354E+00, -1.314467265296512E-02,  1.321991573490695E-02, -4.691025101711665E-03, -4.223658461995727E-04,  8.738637901154459E-03,  1.513048249468584E+00, -1.307510834676135E-03,
2463034.500000000, A.D. 2031-Jun-17 00:00:00.0000, -6.237900471014890E-01, -1.376975568650539E+00, -1.356647044371378E-02,  1.327384581304735E-02, -4.573441406141635E-03, -4.212232327747681E-04,  8.731085828394698E-03,  1.511740648604666E+00, -1.307672260657873E-03,
2463035.500000000, A.D. 2031-Jun-18 00:00:00.0000, -6.104896518258234E-01, -1.381489927158065E+00, -1.398710607412329E-02,  1.332677754089354E-02, -4.455159909065275E-03, -4.200415166191748E-04,  8.723533146233435E-03,  1.510432942226148E+00, -1.307721794314491E-03,
2463036.500000000, A.D. 2031-Jun-19 00:00:00.0000, -5.971368281629577E-01, -1.385885658226331E+00, -1.440654039598728E-02,  1.337870092636555E-02, -4.336187683402933E-03, -4.188205992286746E-04,  8.715980502648900E-03,  1.509125242526985E+00, -1.307658836266679E-03,
2463037.500000000, A.D. 2031-Jun-20 00:00:00.0000, -5.837325894340822E-01, -1.390162074716411E+00, -1.482473416586543E-02,  1.342960599529881E-02, -4.216531949726012E-03, -4.175603886609696E-04,  8.708428548975678E-03,  1.507817662282261E+00, -1.307482799101846E-03,
2463038.500000000, A.D. 2031-Jun-21 00:00:00.0000, -5.702779589291136E-01, -1.394318496775597E+00, -1.524164804893546E-02,  1.347948279304418E-02, -4.096200069776226E-03, -4.162607987584675E-04,  8.700877939870464E-03,  1.506510314842273E+00, -1.307193114353018E-03,
2463039.500000000, A.D. 2031-Jun-22 00:00:00.0000, -5.567739698925637E-01, -1.398354251990531E+00, -1.565724262234663E-02,  1.352832138305795E-02, -3.975199551233570E-03, -4.149217475646964E-04,  8.693329333275513E-03,  1.505203314126188E+00, -1.306789228085309E-03,
2463040.500000000, A.D. 2031-Jun-23 00:00:00.0000, -5.432216655072200E-01, -1.402268675540379E+00, -1.607147837854682E-02,  1.357611184178498E-02, -3.853538055162126E-03, -4.135431542699225E-04,  8.685783390374216E-03,  1.503896774614361E+00, -1.306270592734923E-03,
2463041.500000000, A.D. 2031-Jun-24 00:00:00.0000, -5.296220988746552E-01, -1.406061110351112E+00, -1.648431572906250E-02,  1.362284425475387E-02, -3.731223400920340E-03, -4.121249366488017E-04,  8.678240775542674E-03,  1.502590811339951E+00, -1.305636661955992E-03,
2463042.500000000, A.D. 2031-Jun-25 00:00:00.0000, -5.159763329930376E-01, -1.409730907252213E+00, -1.689571500859190E-02,  1.366850872278009E-02, -3.608263570465978E-03, -4.106670131344146E-04,  8.670702156305837E-03,  1.501285539881318E+00, -1.304886889673784E-03,
2463043.500000000, A.D. 2031-Jun-26 00:00:00.0000, -5.022854407331214E-01, -1.413277425135429E+00, -1.730563647898694E-02,  1.371309537746510E-02, -3.484666710910334E-03, -4.091693091089896E-04,  8.663168203298308E-03,  1.499981076355244E+00, -1.304020733558802E-03,
2463044.500000000, A.D. 2031-Jun-27 00:00:00.0000, -4.885505048123399E-01, -1.416700031113793E+00, -1.771404033306726E-02,  1.375659439077208E-02, -3.360441132015058E-03, -4.076317601617673E-04,  8.655639590220133E-03,  1.498677537409277E+00, -1.303037660632298E-03,
2463045.500000000, A.D. 2031-Jun-28 00:00:00.0000, -4.747726177660275E-01, -1.419998100680228E+00, -1.812088669863717E-02,  1.379899597119182E-02, -3.235595301154725E-03, -4.060543089546442E-04,  8.648116993781998E-03,  1.497375040212239E+00, -1.301937150744575E-03,
